Designator,Mid X,Mid Y,Rotation,Layer
D1,113.6,-72.04,90.0,bottom
D10,132.6,-110.25,90.0,bottom
D11,151.75,-110.29,90.0,bottom
D12,170.7,-110.5,90.0,bottom
D13,113.6,-129.07,90.0,bottom
D14,132.7,-129.34,90.0,bottom
D15,151.7,-129.4,90.0,bottom
D16,171.0,-129.75,90.0,bottom
D2,132.6,-72.02,90.0,bottom
D3,151.72,-71.5,90.0,bottom
D4,157.25,-64.75,0.0,bottom
D5,113.7,-91.06,90.0,bottom
D6,132.7,-91.08,90.0,bottom
D7,151.7,-91.07,90.0,bottom
D8,171.5,-95.5,90.0,bottom
D9,113.5,-110.25,90.0,bottom
LED1,104.75,-79.0,0.0,bottom
LED10,123.75,-117.0,0.0,bottom
LED11,142.75,-117.0,0.0,bottom
LED12,162.0,-117.0,0.0,bottom
LED13,104.75,-136.0,0.0,bottom
LED14,123.75,-136.0,0.0,bottom
LED15,142.75,-136.0,0.0,bottom
LED16,162.0,-136.0,0.0,bottom
LED2,123.75,-79.0,0.0,bottom
LED3,142.75,-79.0,0.0,bottom
LED4,162.0,-83.25,0.0,bottom
LED5,104.75,-98.0,0.0,bottom
LED6,123.75,-98.0,0.0,bottom
LED7,142.75,-98.0,0.0,bottom
LED8,162.0,-98.0,0.0,bottom
LED9,104.75,-117.0,0.0,bottom
SW1,104.775,-73.81875,0.0,bottom
SW10,123.825,-111.91875,0.0,bottom
SW11,142.875,-111.91875,0.0,bottom
SW12,161.925,-111.91875,0.0,bottom
SW13,104.775,-130.96875,0.0,bottom
SW14,123.825,-130.96875,0.0,bottom
SW15,142.875,-130.96875,0.0,bottom
SW16,161.925,-130.96875,0.0,bottom
SW2,123.825,-73.81875,0.0,bottom
SW3,142.875,-73.81875,0.0,bottom
SW4,162.0,-73.3,180.0,top
SW5,104.775,-92.86875,0.0,bottom
SW6,123.825,-92.86875,0.0,bottom
SW7,142.875,-92.86875,0.0,bottom
SW8,161.925,-92.86875,0.0,bottom
SW9,104.775,-111.91875,0.0,bottom
U1,182.71,-70.6885,0.0,top
